date,count(date),average_price
2022-08-22,326487,26.356747190555527
2022-08-23,336793,26.943654975018834
2022-08-24,356396,26.454164328447277
2022-08-25,378746,27.208749874585486
2022-08-26,420814,26.71906626204996
2022-08-27,454877,26.524585393409176
2022-08-28,384662,27.834702232084958
2022-08-29,325966,26.990013621057848
2022-08-30,342223,27.085867723679794
2022-08-31,351657,28.00175583025469
2022-09-01,363731,28.452789231599915
2022-09-02,406631,27.767145839834104
2022-09-03,426809,26.37090668190894
2022-09-04,402576,27.509740521041515
2022-09-05,329285,29.570185432072858
2022-09-06,384285,30.593511508380068
2022-09-07,375694,29.615578183304873
2022-09-08,395091,32.77887858745948
2022-09-09,437147,31.78907129637636
2022-09-10,482531,30.76163921073974
2022-09-11,436997,31.146094732908974
2022-09-12,357473,32.41918472163767
2022-09-13,368925,32.34852357524792
2022-09-14,381996,32.263688991501304
2022-09-15,398277,33.07416273095725
2022-09-16,434443,31.015522933955975
2022-09-17,471405,29.200995980097417
2022-09-18,408890,30.975694979083794
2022-09-19,339675,31.958601280639282
2022-09-20,335614,32.09085106699522
2022-09-21,343333,33.47517066521053
2022-09-22,387130,33.37296468885743
2022-09-23,420405,32.30099018802443
2022-09-24,458097,28.38179771969063
2022-09-25,395560,29.220464986345192
2022-09-26,303409,27.924463875502095
2022-09-27,325686,27.57087937461596
2022-09-28,360573,29.147171391090094
2022-09-29,385097,30.20734316288409
2022-09-30,443717,28.726675583754254
2022-10-01,497850,26.33934500350859
2022-10-02,390937,27.63804899510042
2022-10-03,379031,28.89675213900098
2022-10-04,372908,27.302355567591643
2022-10-05,363802,26.48898359547297
2022-10-06,374642,31.906281062981115
2022-10-07,430709,29.951088971894773
2022-10-08,478488,28.097433268955555
2022-10-09,405519,29.25439782105779
2022-10-10,320276,28.029488035323674
2022-10-11,354591,28.65770538451984
2022-10-12,376871,29.775926457590007
2022-10-13,417634,31.515713854709244
2022-10-14,447543,29.83358714133777
2022-10-15,491997,28.119058022704884
2022-10-16,417600,28.78975167623885
2022-10-17,359342,28.814366147012002
2022-10-18,365226,28.546133681609366
2022-10-19,397397,29.897821448066548
2022-10-20,411014,30.878059360501243
2022-10-21,449105,29.203273176642018
2022-10-22,488775,27.799221789160786
2022-10-23,426241,27.975400700534355
2022-10-24,373652,29.079558359111296
2022-10-25,362296,28.633920771963272
2022-10-26,380981,29.443783522007624
2022-10-27,400581,30.893109683177588
2022-10-28,478799,28.59729951398387
2022-10-29,530940,29.42072684295354
2022-10-30,451917,30.704435792402062
2022-10-31,354353,27.345695450581168
2022-11-01,359616,29.109254899667963
2022-11-02,368573,28.493197629775345
2022-11-03,390499,29.585862780692263
2022-11-04,435482,28.314602325688913
2022-11-05,476017,27.004293838237317
2022-11-06,380533,29.518574289213674
2022-11-07,339288,28.49240580273819
2022-11-08,363226,27.146794915561184
2022-11-09,387018,28.460035114639336
2022-11-10,406098,30.137852119431148
2022-11-11,473065,28.98510963608368
2022-11-12,485985,27.161552928581358
2022-11-13,429051,29.017857877027048
2022-11-14,363212,28.547050042393593
2022-11-15,409938,30.768151598527158
2022-11-16,401464,29.92422249565786
2022-11-17,430424,30.468401204382246
2022-11-18,483062,28.76358492283304
2022-11-19,515571,28.01965044581615
2022-11-20,433148,28.230163362165243
2022-11-21,360538,27.68489732011006
2022-11-22,355700,29.497314225464063
2022-11-23,372873,28.123617236960868
2022-11-24,360685,27.422837406603804
2022-11-25,337850,24.798814296296047
2022-11-26,367041,26.105627545697928
2022-11-27,354009,27.425997757119834
2022-11-28,335545,27.967989897035626
2022-11-29,353945,27.39044286541814
2022-11-30,403579,28.218577478008292
2022-12-01,411870,29.990385849895464
