date,hour_of_day,avg(average_speed)
2023-04-10,17,11.555500024375268
2023-04-10,18,12.623546183516051
2023-04-10,19,13.99133624655839
2023-04-10,20,14.700149068613625
2023-04-10,21,15.135528751346081
2023-04-10,22,15.521340403089889
2023-04-10,23,16.35907005084449
2023-04-11,0,16.984585162848912
2023-04-11,1,17.63571292239508
2023-04-11,2,18.100457904547596
2023-04-11,3,20.04869725419891
2023-04-11,4,22.263964421375228
2023-04-11,5,20.44710654535932
2023-04-11,6,16.723806492318882
2023-04-11,7,13.7921636213293
2023-04-11,8,12.482675282885168
2023-04-11,9,12.468498896833358
2023-04-11,10,12.679975888028645
2023-04-11,11,12.488698597214515
2023-04-11,12,12.499409652466348
2023-04-11,13,12.462690304277066
2023-04-11,14,12.249370209783388
2023-04-11,15,11.840188325883055
2023-04-11,16,11.59032836679732
2023-04-11,17,11.580158504364126
2023-04-11,18,12.731579732512536
2023-04-11,19,14.115042456979152
2023-04-11,20,14.638491818028518
2023-04-11,21,15.073077529118201
2023-04-11,22,15.355133183785075
2023-04-11,23,16.08004424932427
2023-04-12,0,16.548422934610457
2023-04-12,1,17.296290151817917
2023-04-12,2,17.65696197924784
2023-04-12,3,19.95214797840507
2023-04-12,4,22.157486624989772
2023-04-12,5,20.729875314501385
2023-04-12,6,17.22889552746393
2023-04-12,7,14.536565814504227
2023-04-12,8,13.281911965433787
2023-04-12,9,13.099382145858424
2023-04-12,10,13.058756934120481
2023-04-12,11,12.673620572215789
2023-04-12,12,12.549141120315017
2023-04-12,13,12.359316211696505
2023-04-12,14,12.322906873576299
2023-04-12,15,11.953845795045702
2023-04-12,16,11.530517685674315
2023-04-12,17,11.340451406443345
2023-04-12,18,12.268626055716902
2023-04-12,19,13.563754984489163
2023-04-12,20,14.251600735298021
2023-04-12,21,14.561957641795356
2023-04-12,22,14.80977104926312
2023-04-12,23,15.259559938947229
2023-04-13,0,15.916709503737607
2023-04-13,1,16.705182113828574
2023-04-13,2,17.873393408786185
2023-04-13,3,19.63835855237693
2023-04-13,4,22.814126720472913
2023-04-13,5,20.740665562336112
2023-04-13,6,17.294035378013874
2023-04-13,7,14.56290917849152
2023-04-13,8,13.133726949127093
2023-04-13,9,12.837472737070811
2023-04-13,10,12.578458398856418
2023-04-13,11,12.293559216723759
2023-04-13,12,12.102382870759792
2023-04-13,13,12.10226570972221
2023-04-13,14,11.507681207022998
2023-04-13,15,11.1660179200009
2023-04-13,16,10.792806561838587
2023-04-13,17,10.71765036757261
2023-04-13,18,11.52883452133628
2023-04-13,19,13.195060731363315
2023-04-13,20,13.475340720955504
2023-04-13,21,13.643202646097064
2023-04-13,22,13.897102259050808
2023-04-13,23,14.440548637102294
2023-04-14,0,15.415406627068009
2023-04-14,1,15.956560375167019
2023-04-14,2,16.750019892994302
2023-04-14,3,18.952677954340892
2023-04-14,4,22.16266417964205
2023-04-14,5,21.138591537131752
2023-04-14,6,17.869751615150843
2023-04-14,7,15.117834125597414
2023-04-14,8,13.83506085050436
2023-04-14,9,13.516246106259292
2023-04-14,10,12.733856807533266
2023-04-14,11,12.139848613849155
2023-04-14,12,11.833150426865627
2023-04-14,13,11.658225190195449
2023-04-14,14,11.134467313581485
2023-04-14,15,10.76082342249646
2023-04-14,16,10.612981025827604
2023-04-14,17,10.969362772933174
2023-04-14,18,11.721705676608037
2023-04-14,19,12.322104807396096
2023-04-14,20,12.646519074116396
2023-04-14,21,12.941176382039414
2023-04-14,22,13.011542357093877
2023-04-14,23,13.463619073931044
2023-04-15,0,14.024926401898178
2023-04-15,1,14.679746646174738
2023-04-15,2,15.652756557326748
2023-04-15,3,17.3769547130612
2023-04-15,4,19.064119551734546
2023-04-15,5,19.967354811535095
2023-04-15,6,20.08463751984783
2023-04-15,7,18.486639737569174
2023-04-15,8,16.438719852497133
2023-04-15,9,14.911172051838829
2023-04-15,10,13.715104933268966
2023-04-15,11,12.889936073543513
2023-04-15,12,12.392480961747145
2023-04-15,13,12.199300487940288
2023-04-15,14,12.025384934697666
2023-04-15,15,11.81614847973377
2023-04-15,16,11.443563657255352
