date,count
2023-05-14,432304
2023-05-15,360231
2023-05-16,392176
2023-05-17,420366
2023-05-18,444422
2023-05-19,485989
2023-05-20,542068
2023-05-21,406077
2023-05-22,370541
2023-05-23,379839
2023-05-24,418793
2023-05-25,410495
2023-05-26,434891
2023-05-27,443008
2023-05-28,403131
2023-05-29,343910
2023-05-30,354692
2023-05-31,384395
2023-06-01,417099
2023-06-02,472943
2023-06-03,497703
2023-06-04,412805
2023-06-05,358829
2023-06-06,392407
2023-06-07,432153
2023-06-08,427724
2023-06-09,472192
2023-06-10,491742
2023-06-11,419951
2023-06-12,395826
2023-06-13,395484
2023-06-14,429691
2023-06-15,441778
2023-06-16,474559
2023-06-17,473656
2023-06-18,411430
2023-06-19,339317
2023-06-20,370872
2023-06-21,407456
2023-06-22,445004
2023-06-23,491766
2023-06-24,500949
2023-06-25,428681
2023-06-26,391167
2023-06-27,395952
2023-06-28,386734
2023-06-29,393304
2023-06-30,433365
2023-07-01,433336
2023-07-02,378472
2023-07-03,334057
2023-07-04,322346
2023-07-05,358738
2023-07-06,371844
2023-07-07,419904
2023-07-08,455998
2023-07-09,403218
2023-07-10,347427
2023-07-11,372773
2023-07-12,402559
2023-07-13,426665
2023-07-14,463949
2023-07-15,501637
2023-07-16,412463
2023-07-17,373094
2023-07-18,392696
2023-07-19,404829
2023-07-20,421275
2023-07-21,467330
2023-07-22,481809
2023-07-23,412569
2023-07-24,355626
2023-07-25,388783
2023-07-26,396103
2023-07-27,434891
2023-07-28,472970
2023-07-29,496023
2023-07-30,412108
2023-07-31,353541
2023-08-01,364772
2023-08-02,377422
2023-08-03,394343
2023-08-04,420559
2023-08-05,450682
2023-08-06,393369
2023-08-07,353381
2023-08-08,350981
2023-08-09,372641
2023-08-10,422656
2023-08-11,428366
2023-08-12,449289
2023-08-13,382860
2023-08-14,339467
2023-08-15,350986
2023-08-16,375451
2023-08-17,393144
2023-08-18,430832
2023-08-19,445431
2023-08-20,388352
2023-08-21,338710
2023-08-22,341428
2023-08-23,356247
2023-08-24,388638
2023-08-25,432061
2023-08-26,465582
2023-08-27,401599
2023-08-28,334576
2023-08-29,352918
2023-08-30,379266
2023-08-31,386150
