date,count(date),average_profit
2022-11-22,355700,10.96307658138891
2022-11-23,372873,10.440498158890538
2022-11-24,360685,10.516310326184694
2022-11-25,337850,9.60478380938281
2022-11-26,367041,9.896575368964188
2022-11-27,354009,10.571121016697012
2022-11-28,335545,10.721864757335034
2022-11-29,353945,10.562315981296189
2022-11-30,403579,10.901829406386213
2022-12-01,411870,11.265229951198144
2022-12-02,461469,10.153178696726691
2022-12-03,516608,9.757174027502066
2022-12-04,407362,10.673804380379085
2022-12-05,366641,10.77170941056775
2022-12-06,416873,12.528105010398694
2022-12-07,411244,12.16932718775195
2022-12-08,441856,12.42947469311245
2022-12-09,496940,11.04528434016111
2022-12-10,527883,11.051488132786263
2022-12-11,453985,10.9621275813078
2022-12-12,380799,10.800798321424068
2022-12-13,400422,11.875442558100984
2022-12-14,425557,11.768931987958997
2022-12-15,475103,14.617608097612186
2022-12-16,540552,11.397479206440641
2022-12-17,501381,11.405438817984455
2022-12-18,426391,11.783645081626617
2022-12-19,354590,11.322804873233428
2022-12-20,372227,11.677448223798839
2022-12-21,376776,11.327527098329094
2022-12-22,389402,10.790134051699804
2022-12-23,436072,10.65642251738198
2022-12-24,425433,9.326109986766426
2022-12-25,331072,9.826011622849206
2022-12-26,289452,10.326268224092338
2022-12-27,310306,10.395965434119482
2022-12-28,326119,9.835110864438995
2022-12-29,346498,9.801682145351533
2022-12-30,392529,9.698977273016745
2022-12-31,465495,9.686291710974192
2023-01-01,405934,12.223722058265441
2023-01-02,270772,10.198258313266907
2023-01-03,320915,9.96517654207493
2023-01-04,331348,9.962148345545351
2023-01-05,347615,9.844736705837834
2023-01-06,414484,9.332941078545314
2023-01-07,450291,9.053955730849223
2023-01-08,375106,9.491411254418553
2023-01-09,324901,9.764332335080425
2023-01-10,344558,9.594169631817715
2023-01-11,370086,9.65540206870773
2023-01-12,415321,10.310782792105009
2023-01-13,451631,9.629585768027278
2023-01-14,518131,8.9876381841656
2023-01-15,459651,9.181170474990767
2023-01-16,345865,9.170729388633971
2023-01-17,363408,9.744373954343112
2023-01-18,377389,9.610724133453278
2023-01-19,457806,9.747523142990325
2023-01-20,463209,8.76093471845292
2023-01-21,516447,8.283701812576652
2023-01-22,440421,8.754277066715197
2023-01-23,375039,8.667188825695293
2023-01-24,375362,8.911724521927608
2023-01-25,452984,9.400867845221693
2023-01-26,431649,9.38085907762995
2023-01-27,480551,8.627289569681082
2023-01-28,508652,8.211090883354395
2023-01-29,415337,8.689396514155762
2023-01-30,348057,9.111281629158224
2023-01-31,381414,9.213702721976832
2023-02-01,412597,9.508881862932222
2023-02-02,440493,9.816241188850219
2023-02-03,576801,9.085387455986424
2023-02-04,585628,8.512257456952597
2023-02-05,435049,9.082620394484842
2023-02-06,371172,9.305853997607974
2023-02-07,392571,9.467801875330037
2023-02-08,401432,9.67107166344546
2023-02-09,424369,9.867196425752818
2023-02-10,485739,9.367927899551693
2023-02-11,518487,8.79847317290551
2023-02-12,442798,9.118696312991888
2023-02-13,371397,9.687560965759866
2023-02-14,418198,9.724203296046477
2023-02-15,394255,9.942994280351693
2023-02-16,414191,10.143844772097825
2023-02-17,492002,9.521674891565121
2023-02-18,496134,9.03096701697536
2023-02-19,420409,9.218507667533256
2023-02-20,335877,9.88730568035343
2023-02-21,363913,9.820119341710901
2023-02-22,399777,9.718254601940464
2023-02-23,427295,9.875105184942084
2023-02-24,490382,9.330035360188138
2023-02-25,542311,9.107441523406198
2023-02-26,423953,9.485908272851196
2023-02-27,376317,9.595774333872887
2023-02-28,408107,9.72301607176602
2023-03-01,410194,10.038346538466953
2023-03-02,431126,10.311460733056972
2023-03-03,506905,9.530629743245402
2023-03-04,537094,9.296825155373147
2023-03-05,439035,9.627270058195714
2023-03-06,367421,9.77802324853505
2023-03-07,410028,10.065416825192207
2023-03-08,422612,10.22262498461956
2023-03-09,440366,10.476856001598286
2023-03-10,510720,9.954908149279204
2023-03-11,521084,9.308492930122375
2023-03-12,425113,9.764034456720642
2023-03-13,409926,9.690225650482931
2023-03-14,430977,9.615767662775536
2023-03-15,427554,10.329795908820973
2023-03-16,436989,10.552457842188224
2023-03-17,480464,9.822124154982932
2023-03-18,523388,9.555770308069501
2023-03-19,429351,10.101259016515495
2023-03-20,357215,10.261167112243282
2023-03-21,364577,10.277949184945557
2023-03-22,382353,10.37160935052151
2023-03-23,414546,10.829671689028054
2023-03-24,455836,9.815349555541854
2023-03-25,521670,9.589580826959788
2023-03-26,402086,10.076667056301325
2023-03-27,364720,9.965886954375618
2023-03-28,363261,9.98142214550947
2023-03-29,388241,10.176689041084744
2023-03-30,421677,10.569188762962945
2023-03-31,449452,9.53204756013965
2023-04-01,526003,9.784592065064203
2023-04-02,426677,9.653809274931552
2023-04-03,360789,9.846928010554304
2023-04-04,383165,10.192534547779372
2023-04-05,406791,10.242523998810219
2023-04-06,397857,10.309457795136858
2023-04-07,441172,9.603172164144
2023-04-08,464091,9.033698628070393
2023-04-09,402733,9.677355518420123
2023-04-10,330731,10.288278238205763
2023-04-11,352289,10.514803158769809
2023-04-12,382390,10.555246214597393
2023-04-13,415346,11.189053487935004
2023-04-14,476649,10.487430729950194
2023-04-15,494228,9.677678601778409
2023-04-16,405154,9.97888588043056
2023-04-17,359652,10.626139434786738
2023-04-18,381708,10.782606023451907
2023-04-19,399637,10.879123629693876
2023-04-20,421368,11.63171002544069
2023-04-21,450362,11.299754064507361
2023-04-22,506253,10.559119471884486
2023-04-23,420498,11.407945079405462
2023-04-24,356140,10.952050598079268
2023-04-25,379381,11.1730809661
2023-04-26,404826,11.350058247246537
2023-04-27,430351,11.518082472214216
2023-04-28,516180,10.511638343212782
2023-04-29,580764,9.783917305480008
2023-04-30,476568,10.328892498027198
2023-05-01,372427,11.083611768211814
2023-05-02,400657,11.222414234619542
2023-05-03,410896,11.471238415559986
2023-05-04,440778,11.560077181709868
2023-05-05,485719,10.575219149343516
2023-05-06,510945,9.83412827212294
2023-05-07,404517,10.930318923555724
2023-05-08,360367,10.935309975663557
2023-05-09,380773,11.199535996512068
2023-05-10,400845,11.697687609923564
2023-05-11,435273,12.031817801700983
2023-05-12,474692,11.06454427291803
2023-05-13,502853,10.051700298098794
2023-05-14,432304,11.098116394944022
2023-05-15,360231,10.737632269293593
2023-05-16,392176,11.382891380400498
2023-05-17,420366,12.16225974507901
2023-05-18,444422,12.121336927514797
2023-05-19,485989,11.074635454711807
2023-05-20,542068,11.02570828752062
2023-05-21,406077,10.827179722072236
2023-05-22,370541,11.454867207677285
2023-05-23,379839,11.874555640679363
2023-05-24,418793,11.80003256978992
2023-05-25,410495,11.569825503355318
2023-05-26,434891,10.672681292553424
2023-05-27,443008,9.73112521670019
2023-05-28,403131,9.809296060089359
2023-05-29,343910,10.647089994474989
2023-05-30,354692,10.919658464245067
2023-05-31,384395,11.235923672264214
2023-06-01,417099,11.39149345838729
2023-06-02,472943,10.702522143260154
2023-06-03,497703,10.61201489643373
2023-06-04,412805,11.26945630503464
2023-06-05,358829,11.80701258816823
2023-06-06,392407,12.168512590244212
2023-06-07,432153,12.159583226310376
2023-06-08,427724,12.055582899252736
2023-06-09,472192,10.931117808010352
2023-06-10,491742,10.344183575940228
2023-06-11,419951,11.02065686234803
2023-06-12,395826,11.166260882306387
2023-06-13,395484,11.638307693863148
2023-06-14,429691,11.683658931650527
2023-06-15,441778,11.843542616427069
2023-06-16,474559,11.115320181472876
2023-06-17,473656,10.404267654162329
2023-06-18,411430,10.50513299953804
2023-06-19,339317,10.730394675185751
2023-06-20,370872,11.428732284993034
2023-06-21,407456,11.27941853844312
2023-06-22,445004,11.423786100798708
